tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_2359,Swisscom CROK,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2504472,1116851,46.196338,6.201105,BAKOM/geo.admin.ch (22.02.26)
TOWER_2360,Salt VD_8100A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2560934,1141528,46.42396,6.930445,BAKOM/geo.admin.ch (22.02.26)
TOWER_2361,Salt GE_8051B,"Technology 4G,5G",False,True,True,low,Outdoor ≤ 6 Werp,False,2500997,1117519,46.201845,6.155954,BAKOM/geo.admin.ch (22.02.26)
TOWER_2362,Swisscom GSER,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2500638,1116635,46.193841,6.151492,BAKOM/geo.admin.ch (22.02.26)
TOWER_2363,Swisscom CROS,"Technology 3G,4G,5G",True,True,True,high,Outdoor > 6 Werp,False,2551894,1115820,46.192121,6.815507,BAKOM/geo.admin.ch (22.02.26)
TOWER_2364,Salt GE_0031A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2497424,1117996,46.2056,6.109567,BAKOM/geo.admin.ch (22.02.26)
TOWER_2365,Sunrise VD106-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2530026,1152874,46.523505,6.52669,BAKOM/geo.admin.ch (22.02.26)
TOWER_2366,Sunrise VD456-2,"Technology 4G,5G",False,True,True,low,Outdoor > 6 Werp,False,2561603,1145206,46.457084,6.938843,BAKOM/geo.admin.ch (22.02.26)
TOWER_2367,Sunrise GE506-6,Technology 4G,False,True,False,medium,Outdoor > 6 Werp,False,2498269,1115005,46.178826,6.121164,BAKOM/geo.admin.ch (22.02.26)
TOWER_2368,Salt GE_0071B,"Technology 3G,4G,5G",True,True,True,high,Outdoor > 6 Werp,False,2494964,1116470,46.191496,6.078042,BAKOM/geo.admin.ch (22.02.26)
TOWER_2369,Swisscom CBVF,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2504408,1123543,46.25652,6.198907,BAKOM/geo.admin.ch (22.02.26)
TOWER_2370,SBB LSE-PUN-00133,Technology 2G,False,False,False,low,Outdoor > 6 Werp,False,2539054,1151758,46.514349,6.644487,BAKOM/geo.admin.ch (22.02.26)
TOWER_2371,Swisscom SLMT,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2555763,1146609,46.469344,6.862695,BAKOM/geo.admin.ch (22.02.26)
TOWER_2372,Swisscom GMIN,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2500537,1118719,46.21257,6.14974,BAKOM/geo.admin.ch (22.02.26)
TOWER_2373,Swisscom MOHR,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2558841,1143320,46.439954,6.90306,BAKOM/geo.admin.ch (22.02.26)
TOWER_2374,Salt VD_0104A,"Technology 3G,4G,5G",True,True,True,high,Outdoor > 6 Werp,False,2555450,1145494,46.459294,6.858727,BAKOM/geo.admin.ch (22.02.26)
TOWER_2375,Sunrise VD572-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2515887,1146168,46.461559,6.343662,BAKOM/geo.admin.ch (22.02.26)
TOWER_2376,Swisscom CBAP,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2502240,1116658,46.194282,6.172236,BAKOM/geo.admin.ch (22.02.26)
TOWER_2377,Salt GE_7886A,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2497300,1120789,46.230702,6.107346,BAKOM/geo.admin.ch (22.02.26)
TOWER_2378,Swisscom CPOC,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2499830,1116015,46.188145,6.141159,BAKOM/geo.admin.ch (22.02.26)
TOWER_2379,Swisscom LHCD,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2538658,1152904,46.524621,6.639175,BAKOM/geo.admin.ch (22.02.26)
TOWER_2380,Swisscom GVIV,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2501810,1117324,46.20021,6.166526,BAKOM/geo.admin.ch (22.02.26)
TOWER_2381,Salt VD_7750A,"Technology 3G,4G,5G",True,True,True,low,Indoor ≤ 6 Werp,True,2535675,1153393,46.52874,6.600233,BAKOM/geo.admin.ch (22.02.26)
TOWER_2382,Salt VD_3050A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2528116,1152320,46.518319,6.501886,BAKOM/geo.admin.ch (22.02.26)
