stop_name,lat_wgs84,lon_wgs84,station_id,gtfs_stop_ids
Etoy,46.475173,6.427135,,8501042:2
Ecublens-Rue,46.61043,6.811055,,8504018:2
Châtillens,46.570533,6.815482,,8504017:1
Pully-Nord,46.514681,6.657988,,8504000:1
Moreillon,46.508398,6.785645,,8504007:2
Chêne-Bourg,46.1966,6.197333,,8516274:1
Annemasse,46.199341,6.236404,,8774549
Vernier,46.220719,6.093892,,8501007:1
Meyrin,46.222335,6.076901,,8501006:1
Zimeysa,46.22124,6.065985,,8501000:1
Satigny,46.214227,6.037665,,8501003:1
Russin,46.188395,6.018036,,8501002:1
La Plaine,46.178665,5.999993,,8501001:1
Chambésy,46.240945,6.147304,,8501020:2
Les Tuileries,46.249946,6.147337,,8501011:1
Creux-de-Genthod,46.263768,6.161312,,8501012:2
Pont-Céard,46.286817,6.162779,,8501013:1
Palézieux-Village,46.557113,6.828875,,8504016:1
Vufflens-la-Ville,46.576245,6.530768,,8501116:2
Cossonay-Penthalaz,46.60601,6.523689,,8501115:1
Roche VD,46.358696,6.927053,,8501304:2
Lutry,46.503787,6.690609,,8501122:1
Pully,46.510924,6.659468,,8501121:1
Veytaux-Chillon,46.417621,6.927861,,8501302:2
Villette VD,46.495425,6.707377,,8501123:1
Oron,46.572546,6.837104,,8504020:2
Vauderens,46.621455,6.850038,,8504021:2
Chexbres-Village,46.481057,6.778538,,8504013:1
Morges-St-Jean,46.518195,6.508044,,8501047:1
Pougny-Chancy,46.144737,5.961185,,8774538
Champéry,46.17495,6.87149,,8501448:1
Champéry-Village,46.18148,6.87484,,8501466:1
La Cour,46.19424,6.88668,,8501453:1
En Charnet,46.19702,6.88701,,8530463:1
Val-d'Illiez,46.20361,6.89322,,8501465:1
Fayot,46.21206,6.89951,,8501454:1
Pont de Fayot,46.21902,6.90373,,8593467:1
Troistorrents,46.22829,6.91581,,8501464:1
Route de Morgins,46.232151,6.92142,,8530430:1
Les Neys,46.23602,6.92478,,8530378:1
Croix-du-Nant,46.23967,6.92745,,8501460:1
Chemex,46.245904,6.931809,,8512191:1
Monthey-Hôpital,46.25188,6.94075,,8501457:1
Monthey-En Place,46.259252,6.945978,,8501229:1
Monthey-Ville,46.254017,6.947586,,8501463:2
Collombey-Village,46.269387,6.945978,,8501462:11
Corbier,46.272399,6.952204,,8501726:1
Pont du Rhône,46.276115,6.961661,,8530366:1
St-Triphon-Gare,46.278315,6.97365,,8501452:1
Villy,46.286855,6.994309,,8501458:2
Les Arnoux,46.291645,6.996745,,8530355:1
Ollon VD,46.296705,6.993202,,8501461:2
Aigle-Place-du-Marché,46.31724,6.97034,,8501554:1
Aigle-Dépôt,46.31829,6.97537,,8501484:1
Fontanney,46.31832,6.9823,,8501485:1
Pont-de-Drapel,46.31986,6.98652,,8501179:1
Rennaz (Leysin),46.32736,7.00087,,8501480:1
La Roulaz,46.33132,7.00148,,8501199:1
Leysin-Village,46.33926,7.00605,,8501481:1
Versmont,46.34142,7.00695,,8501725:1
Leysin-Feydey,46.34444,7.00836,,8501482:1
Leysin-Grand-Hôtel,46.34555,7.00643,,8501483:1
Les Diablerets,46.35116,7.15502,,8501479:1
La Faverge,46.35493,7.14712,,8593774:1
Les Bovets,46.35546,7.14164,,8593773:1
Vers-l'Eglise,46.35363,7.13414,,8501477:1
Plan Morier,46.35357,7.1292,,8593776:1
Les Nicolets,46.35446,7.11954,,8593775:1
Les Aviolats,46.35297,7.11316,,8501476:1
Sur-le-Buis,46.3533,7.10063,,8517485:1
Les Echenards,46.35535,7.08506,,8501475:1
Les Planches (Aigle),46.35534,7.05527,,8501473:1
Le Sépey,46.36124,7.05279,,8501474:2
Exergillod,46.33711,7.03848,,8501472:1
Plambuit,46.32735,7.02397,,8501471:2
Verschiez,46.308174,6.983668,,8501470:1
Aigle-Parc Aventure,46.3153,6.98622,,8517484:1
Aigle-Château,46.316872,6.978921,,8501468:1
Villars-sur-Ollon,46.29626,7.05623,,8501495:3
Roches Grises,46.29376,7.0611,,8501447:2
Col-de-Soud,46.30494,7.06954,,8501497:2
Villars-sur-Ollon Golf,46.30912,7.07549,,8501446:1
Bouquetins,46.3164,7.07234,,8501498:2
Col-de-Bretaye,46.32193,7.07361,,8501499:2
Bière,46.53744,6.33691,,8501096
Ballens,46.55226,6.37446,,8501095
Ballens-Froideville,46.54966,6.39023,,8501085
Apples,46.55088,6.42358,,8501094
Reverolle,46.54043,6.43097,,8501083
Chardonney-Château,46.5347,6.43256,,8501082
Yens,46.51996,6.42732,,8501093
Bussy-Chardonney,46.52678,6.44651,,8501092
Le Marais,46.52747,6.46259,,8501080
Vufflens-le-Château,46.52481,6.47318,,8501091
Chigny,46.51602,6.47225,,8501081
Prélionne,46.50947,6.48027,,8501090
La Gottaz,46.50655,6.48446,,8501054
Blonay,46.46569,6.89594,,8501281
Château-de-Blonay,46.46835,6.89175,,8501266
La Chiésaz,46.46951,6.88213,,8501265
St-Légier-Village,46.47102,6.87657,,8501264
St-Légier-Gare,46.47053,6.87193,,8501280:2
Château-d'Hauteville,46.46847,6.86529,,8501263
Hauteville,46.46626,6.86089,,8501262
