nom;nb_places;type;type_txt;duree_max;url;geometry
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538415.227838719 1152312.940594639)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538489.0805012994 1152211.6097659296)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538153.782607085 1153377.7944456332)
;2;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2535191.9570416063 1152286.4133713003)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537949.1883960813 1151624.9538153138)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537603.916473135 1152974.1582261017)
;3;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537296.977053497 1151091.859352338)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537561.1926599587 1152481.0980419614)
;2;13;Places handicapés;;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2539233.188094076 1153689.1262102374)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537657.51209396 1153619.7125618304)
;1;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538231.123844348 1151286.2046640904)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537886.9535653666 1153583.5037618654)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2539856.547920127 1152749.579315609)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2536948.0893596793 1153251.3967585962)
