rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
3197,Exploitations agricoles: durée d'engagement du personnel non familial selon la classe de taille SAU,https://opendata.swiss/en/dataset/landwirtschaftsbetriebe-dauer-der-beschaftigung-von-familienfremden-arbeitskraften-nach-grossen,Office fédéral de la statistique OFS,22.75,30.0,10.0,25.0,30.0,le sau,population,"HTML, SERVICE",False,"Ce dataset présente le nombre d'exploitations agricoles selon la classe de taille de la surface agricole utile, la durée d'engagement du personnel non familial et le sexe, en 2010, 2013, 2016 et 2020."
3198,Suisse urbaine: sélection de variables selon les bassins d'emploi et les grands bassins d'emploi 2018,https://opendata.swiss/en/dataset/urbane-schweiz-ausgewahlte-variablen-nach-arbeitsmarktregionen-und-arbeitsmarktgrossregion-2018,Office fédéral de la statistique OFS,22.75,30.0,10.0,25.0,30.0,bassins,population,"HTML, SERVICE",False,"Ce dataset présente des données annuelles pour une sélection de variables selon les bassins d'emploi et les grands bassins d'emploi (définition de 2018), depuis 2016."
3199,Qualité de vie dans les villes et agglomérations (agglo 2012): qualité de l'environnement,https://opendata.swiss/en/dataset/lebensqualitat-in-den-stadten-und-agglomerationen-agglo-2012-qualitat-der-umwelt5,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,noise_environment,"HTML, SERVICE",False,"Ce dataset présente des indicateurs concernant la qualité de l'environnement et l'utilisation du sol dans les villes et agglomérations selon la définition des agglomérations 2012, en 1995, 2007 et dep"
3200,Qualité de vie dans les villes et agglomérations (agglo 2000): qualité de l‘environnement,https://opendata.swiss/en/dataset/lebensqualitat-in-den-stadten-und-agglomerationen-agglo-2000-qualitat-der-umwelt,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,noise_environment,"HTML, SERVICE",False,"Ce dataset présente des indicateurs concernant l'utilisation du sol dans les villes et agglomérations selon la définition des agglomérations 2000, de 1992 à 1997 et de 2004 à 2009."
3201,ASE: Bénéficiaires de l'aide sociale économique selon le canton et l'âge,https://opendata.swiss/en/dataset/wsh-sozialhilfebeziehende-der-wirtschaftlichen-sozialhilfe-nach-kanton-und-alter3,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,safety,"HTML, SERVICE",False,"Ce dataset présente les données annuelles des bénéficiaires de l'aide sociale économique selon le canton et l'âge, depuis 2011."
3202,Qualité de vie dans les villes et agglomérations (agglo 2012): habitat,https://opendata.swiss/en/dataset/lebensqualitat-in-den-stadten-und-agglomerationen-agglo-2012-wohnsituation7,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,urban_planning,"HTML, SERVICE",False,"Ce dataset présente des indicateurs de l'habitat (ménages privés, logements vacants, maisons individuelles, personnes par logement, personnes par ménage, surface d'habitation) dans les villes et agglo"
3203,ASE: Bénéficiaires de l'aide sociale économique selon le canton et la nationalité,https://opendata.swiss/en/dataset/wsh-sozialhilfebeziehende-der-wirtschaftlichen-sozialhilfe-nach-kanton-und-staatsangehorigkeit1,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,safety,"HTML, SERVICE",False,"Ce dataset présente les données annuelles des bénéficiaires de l'aide sociale économique selon le canton et la nationalité, depuis 2006."
3204,"Infractions enregistrées par la police selon le Code pénal, le canton, le degré de réalisation et le degré d'élucidation",https://opendata.swiss/en/dataset/polizeilich-registrierte-straftaten-gemass-strafgesetzbuch-nach-kanton-ausfuhrungsgrad-und-aufk5,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,safety,"HTML, SERVICE",False,"Ce dataset présente les chiffres annuels des infractions enregistrées par la police selon le Code pénal, le canton, le degré de réalisation et le degré d'élucidation, depuis 2009."
3205,"Prévenus enregistrés par la police selon le Code pénal et selon l'infraction, le canton, la catégorie de séjour, le sexe et la classe d'âge",https://opendata.swiss/en/dataset/polizeilich-registrierte-beschuldigte-gemass-strafgesetzbuch-nach-straftat-kanton-aufenthaltssg1,Office fédéral de la statistique OFS,22.75,40.0,0.0,25.0,30.0,,safety,"HTML, SERVICE",False,"Ce dataset présente les chiffres annuels des prévenus enregistrés par la police selon le Code pénal et selon l'infraction, le canton, la catégorie de séjour (Suisse, étranger, domaine de l'asile), le "
3206,"(Beta) Téléphériques, téléskis (NeTEx)",https://opendata.swiss/en/dataset/beta-seilbahnen-skilifte,Secrétariat des tâches du système d’information à la clientèle (CFF SA),22.69,30.0,0.0,18.75,60.0,,transport,ZIP,False,"Ce jeu de données contient quelques téléphériques et téléskis au format NeTEx. Jusqu'à présent, ces derniers ne figurent pas dans la collection TP. Pour le moment, certaines zones sont couvertes par I"
