station_id,name,lat_wgs84,lon_wgs84,provider_id,address,capacity,vehicle_types,is_virtual
donkey_ge:18583,Rue Gourgas,46.19967,6.1370687,donkey_ge,", ",8,,False
donkey_ge:22311,Rue des Photographes 2,46.20223,6.159289,donkey_ge,,3,,False
donkey_ge:20948,"Bernex, Luchepelet",46.17835,6.0729947,donkey_ge,,4,,False
donkey_ge:20186,Centre sportif des Cherpines,46.174335,6.103794,donkey_ge,,10,,False
donkey_ge:22289,Montchoisy 21,46.203617,6.160819,donkey_ge,,2,,False
donkey_ge:24676,Maison Chauvet-Lullin,46.212814,6.0811477,donkey_ge,,3,,False
donkey_ge:22102,Ecole des Cropettes,46.213192,6.1391883,donkey_ge,,2,,False
donkey_ge:21930,Rue Merle-D'Aubigné,46.20529,6.1637673,donkey_ge,,6,,False
donkey_ge:18554,Port Cologny,46.224895,6.182789,donkey_ge,,6,,False
donkey_ge:23247,Bandol,46.186905,6.107094,donkey_ge,,3,,False
donkey_ge:22340,Quai de Cologny 5,46.219555,6.1788907,donkey_ge,,5,,False
donkey_ge:22009,Carl-Vogt 80,46.196373,6.1387763,donkey_ge,,5,,False
donkey_ge:31620,Octagon,46.238815,6.122433,donkey_ge,", ",3,,False
donkey_ge:18835,Saint-Georges 60,46.201313,6.137222,donkey_ge,,6,,False
donkey_ge:18416,Geneva Hostel,46.214737,6.149547,donkey_ge,,5,,False
donkey_ge:22237,Rue de Lausanne 17,46.211372,6.144248,donkey_ge,,2,,False
donkey_ge:22213,Muzy 7,46.203907,6.15607,donkey_ge,", ",1,,False
donkey_ge:21969,Jardin des Alpes,46.208008,6.1488423,donkey_ge,,5,,False
donkey_ge:21316,CICG,46.220516,6.138517,donkey_ge,", ",5,,False
donkey_ge:27238,Emma Kammacher,46.22334,6.068036,donkey_ge,,5,,False
donkey_ge:22017,Verdaine 6,46.2017,6.1506667,donkey_ge,,3,,False
donkey_ge:20630,Maraîchers 46,46.197468,6.1383047,donkey_ge,,6,,False
donkey_ge:22371,P+R Sécheron ,46.221348,6.1456075,donkey_ge,,4,,False
donkey_ge:18798,Maison de la Paix,46.22085,6.143026,donkey_ge,,10,,False
donkey_ge:18520,Tronchin,46.209698,6.1337543,donkey_ge,,6,,False
donkey_ge:27951,Valavran,46.25664,6.1393666,donkey_ge,,6,,False
