ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
153,EP Palettes / Bachet-de-Pesay,Primaire,Grand-Lancy,GE,Canton de Genève,"Chemin des Palettes 22, 1212 Grand-Lancy",46.184000,6.126000,2498650.79,1115575.66,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
154,EP Pâquis,Primaire,Genève,GE,Canton de Genève,"Rue de Chateaubriand 8, 1202 Genève",46.214000,6.149000,2500481.34,1118880.68,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
155,EP Perly-Certoux / Compesières / Laconnex / Soral,Primaire,Perly-Certoux,GE,Canton de Genève,"Route de Certoux 73, 1258 Perly",46.160000,6.098000,2496443.48,1112944.68,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
156,EP Pervenches / De-Montfalcon / Jacques-Dalphin,Primaire,Carouge,GE,Canton de Genève,"Rue Jacques-Dalphin 20, 1227 Carouge",46.185000,6.138000,2499579.07,1115671.36,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
157,EP Peschier / Crêts-de-Champel,Primaire,Genève,GE,Canton de Genève,"Chemin Peschier 11, 1206 Genève",46.195000,6.154000,2500832.52,1116762.48,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
158,EP Plateau / Petit-Lancy / Tivoli,Primaire,Petit-Lancy,GE,Canton de Genève,"Avenue du Plateau 11, 1213 Petit-Lancy",46.192000,6.111000,2497507.82,1116484.37,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
159,EP Roseraie,Primaire,Genève,GE,Canton de Genève,"Avenue de la Roseraie 24, 1205 Genève",46.189000,6.150000,2500512.80,1116100.65,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
160,EP Sécheron / De Chandieu,Primaire,Genève,GE,Canton de Genève,"Rue de Lyon 55, 1203 Genève",46.218000,6.146000,2500257.20,1119329.09,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
161,EP Seujet / Devin-du-Village / Necker / St-Jean,Primaire,Genève,GE,Canton de Genève,"Rue du Seujet 18, 1201 Genève",46.207000,6.140000,2499774.00,1118114.10,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
162,EP Tambourine / Vigne-Rouge,Primaire,Carouge,GE,Canton de Genève,"Route de la Tambourine 18, 1227 Carouge",46.178000,6.140000,2499720.58,1114890.74,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
163,EP Tattes / Gros-Chêne / Racettes,Primaire,Onex,GE,Canton de Genève,"Chemin des Tattes 23, 1213 Onex",46.190000,6.098000,2496500.53,1116279.16,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
164,EP Thônex Nord,Primaire,Thônex,GE,Canton de Genève,"Rue de Belle-Terre 2, 1226 Thônex",46.202000,6.206000,2504858.53,1117476.06,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
165,EP Tour / Pommier,Primaire,Genève,GE,Canton de Genève,"Rue des Pommiers 17, 1201 Genève",46.213000,6.138000,2499630.73,1118783.56,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
166,EP Trembley,Primaire,Genève,GE,Canton de Genève,"Avenue Trembley 12, 1209 Genève",46.226000,6.131000,2499114.72,1120237.50,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
167,EP Val-d'Arve / Promenades,Primaire,Carouge,GE,Canton de Genève,"Promenade de l'Observatoire 10, 1227 Carouge",46.188000,6.143000,2499970.59,1115998.41,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
168,EP Vandoeuvres / Choulex / Cologny / Pré-Picot / Puplinge,Primaire,Vandoeuvres,GE,Canton de Genève,"Chemin de la Chevillarde 11, 1253 Vandoeuvres",46.218000,6.200000,2504423.58,1119261.78,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
169,EP Vernier-Village,Primaire,Vernier,GE,Canton de Genève,"Chemin des Ranches 52, 1214 Vernier",46.215000,6.086000,2495622.18,1119073.80,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
170,EP Vollandes / Allières / Montchoisy,Primaire,Genève,GE,Canton de Genève,"Rue des Vollandes 41, 1207 Genève",46.202000,6.160000,2501308.34,1117532.96,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
171,EP XXXI-Décembre / De-Roches / Eaux-Vives,Primaire,Genève,GE,Canton de Genève,"Rue du XXXI-Décembre 25, 1207 Genève",46.201000,6.157000,2501074.99,1117425.59,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
