ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
95,CO de Bois-Caran,Secondaire (CO),Collonge-Bellerive,GE,Canton de Genève,"Chemin du Bois-Caran 40, 1245 Collonge-Bellerive",46.248100,6.198900,2504391.65,1122608.78,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
96,CO de Budé,Secondaire (CO),Genève,GE,Canton de Genève,"Chemin Briquet 4, 1209 Genève",46.225100,6.127200,2498819.90,1120142.36,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
97,CO de Cayla,Secondaire (CO),Genève,GE,Canton de Genève,"Chemin William-Lescaze 8, 1203 Genève",46.205500,6.120500,2498266.38,1117972.50,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
98,CO des Colombières,Secondaire (CO),Versoix,GE,Canton de Genève,"Chemin des Colombières 4, 1290 Versoix",46.278900,6.162800,2501663.63,1126076.90,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
99,CO des Coudriers,Secondaire (CO),Genève,GE,Canton de Genève,"Avenue de Joli-Mont 15A, 1209 Genève",46.220300,6.116500,2497985.45,1119622.72,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
100,CO de Drize,Secondaire (CO),Carouge,GE,Canton de Genève,"Route de Drize 8, 1227 Carouge",46.175400,6.137600,2499530.47,1114604.83,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
101,CO de la Florence,Secondaire (CO),Genève,GE,Canton de Genève,"Chemin du Velours 16, 1208 Genève",46.191800,6.169000,2501984.57,1116387.92,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
102,CO du Foron,Secondaire (CO),Thônex,GE,Canton de Genève,"Chemin du Foron 43, 1226 Thônex",46.196500,6.210500,2505196.26,1116859.27,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
103,CO de la Golette,Secondaire (CO),Meyrin,GE,Canton de Genève,"Rue de la Golette 17, 1217 Meyrin",46.228700,6.076300,2494900.23,1120609.50,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
104,CO de la Gradelle,Secondaire (CO),Chêne-Bougeries,GE,Canton de Genève,"Chemin du Pré-du-Couvent 5, 1224 Chêne-Bougeries",46.202600,6.181900,2502999.61,1117572.30,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
105,CO des Grandes-Communes,Secondaire (CO),Petit-Lancy,GE,Canton de Genève,"Chemin Gérard-De-Ternier 20, 1213 Petit-Lancy",46.193900,6.106800,2497187.21,1116701.05,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
