code,uic,name,canton,infrastructure_manager,year,daily_avg,workday_avg,nonworkday_avg,commuter_index,transport_companies,lat_wgs84,lon_wgs84,remarks_de
CHEB,8516274.0,Chêne-Bourg,GE,SBB,2024,5900.0,6800.0,3900.0,1.74,SBB,46.19660016900358,6.19733346411845,
PRMA,8518452.0,Prilly-Malley,VD,SBB,2024,5900.0,6900.0,3500.0,1.97,SBB,46.52669197652311,6.6026289392506525,
BY,8501117.0,Bussigny,VD,SBB,2024,5400.0,6400.0,3200.0,2.0,SBB,46.547590367464494,6.551826149226752,
ALL,8501035.0,Allaman,VD,SBB,2024,5200.0,6200.0,3100.0,2.0,SBB,46.47575352079991,6.399697079747334,
ROL,8501033.0,Rolle,VD,SBB,2024,4600.0,5400.0,2700.0,2.0,SBB,46.46274581604107,6.336403807618889,
VSX,8501022.0,Versoix,GE,SBB,2024,4400.0,5100.0,2800.0,1.82,SBB,46.27972718493067,6.165741292020816,
COS,8501115.0,Cossonay-Penthalaz,VD,SBB,2024,3900.0,4600.0,2400.0,1.92,SBB,46.6060100852867,6.523689168142412,
PTC,8501013.0,Pont-Céard,GE,SBB,2024,3900.0,4600.0,2400.0,1.92,SBB,46.286817385941546,6.162779285034652,
VIL,8501303.0,Villeneuve VD,VD,SBB,2024,3800.0,4300.0,2800.0,1.54,SBB,46.3983715064178,6.927003108049976,
PU,8501121.0,Pully,VD,SBB,2024,3100.0,3700.0,1800.0,2.06,SBB,46.510923623181604,6.659468140211437,
TOUR,8501201.0,La Tour-de-Peilz,VD,SBB,2024,2900.0,3200.0,2100.0,1.52,SBB,46.45545289156488,6.859532673443139,
BEX,8501402.0,Bex,VD,SBB,2024,2700.0,3000.0,1800.0,1.67,"RegionAlps, SBB",46.251464582286516,7.000669902355405,Ohne TPC.
MTH,8501421.0,Monthey,VS,SBB,2024,2500.0,3000.0,1200.0,2.5,RegionAlps,46.25565645124001,6.955226661008993,
CL,8501203.0,Clarens,VD,SBB,2024,2400.0,2700.0,1700.0,1.59,SBB,46.44273829900727,6.8957799366107455,
CHV,8501112.0,Chavornay,VD,SBB,2024,2400.0,2900.0,1300.0,2.23,SBB,46.71008452939175,6.568163247022746,
SY,8501003.0,Satigny,GE,SBB,2024,2300.0,2700.0,1400.0,1.93,SBB,46.214227225533854,6.037665211701823,
CU,8501124.0,Cully,VD,SBB,2024,2300.0,2500.0,1900.0,1.32,SBB,46.48856179169186,6.727151466849018,
GESE,8516283.0,Genève-Sécheron,GE,SBB,2024,2200.0,2900.0,640.0,4.53,SBB,46.22244030850258,6.1445611504026765,
VIL,8501303.0,Villeneuve,VD,SBB,2018,2100.0,2400.0,1300.0,1.85,SBB,46.3983715064178,6.927003108049976,
PUI,8504012.0,Puidoux,VD,SBB,2024,2000.0,2400.0,1300.0,1.85,SBB,46.49384122879209,6.765686484646686,
LTY,8501122.0,Lutry,VD,SBB,2024,1900.0,2100.0,1500.0,1.4,SBB,46.50378676835819,6.690609436558635,
ETOY,8501042.0,Etoy,VD,SBB,2024,1800.0,2200.0,790.0,2.78,SBB,46.475172741371445,6.427135355558961,
ZIM,8501000.0,Zimeysa,GE,SBB,2024,1800.0,2400.0,350.0,6.86,SBB,46.22123959466557,6.0659853485661,
GDBE,8501021.0,Genthod-Bellevue,GE,SBB,2024,1700.0,2000.0,920.0,2.17,SBB,46.25673767556873,6.153960792570101,
BURI,8501202.0,Burier,VD,SBB,2024,1700.0,2200.0,630.0,3.49,SBB,46.447886474978866,6.877121824811778,
LP,8501001.0,La Plaine,GE,SBB,2024,1600.0,1800.0,1100.0,1.64,SBB,46.178665387113796,5.999992779741372,
STP,8501036.0,St-Prex,VD,SBB,2024,1600.0,1900.0,990.0,1.92,SBB,46.482316906306195,6.455906017304926,
MD,8504120.0,Moudon,VD,SBB,2024,1500.0,1700.0,870.0,1.95,SBB,46.66805734102318,6.802507939012097,
TUI,8501011.0,Les Tuileries,GE,SBB,2024,1400.0,1700.0,870.0,1.95,SBB,46.249946345940444,6.147337458926189,
