E_LV95,N_LV95,espece,art_nest,nat_nest,p_nat_nest,localisati,detail_loc,remarques,categorie_type,categorie_label
2536690,1153006,Martinet noir,0,4,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536740,1153008,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538487,1153865,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538315,1153396,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538286,1153455,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536866,1152830,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537018,1152639,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536990,1152898,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536222,1153195,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538064,1153376,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538565,1152908,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538462,1152707,Martinet noir,2,0,0,,,,nichoir_artificiel,Nichoir artificiel
2539996,1153441,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537147,1153426,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536836,1154100,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537730,1153284,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2540036,1153735,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536578,1153644,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536592,1153629,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539932,1153268,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539167,1153063,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538744,1152075,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539710,1153367,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539985,1152604,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539257,1153075,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539173,1153070,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538745,1151706,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537534,1152821,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537836,1152871,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538675,1153158,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538469,1153729,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537853,1152751,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538827,1152983,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536877,1154015,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536699,1153860,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538250,1152850,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538326,1152705,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538412,1152734,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538573,1152717,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538644,1152727,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539302,1153067,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539551,1152702,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536624,1152915,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536716,1151943,Martinet noir,,1,,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537378,1155101,Martinet noir,50,,,,,,nichoir_artificiel,Nichoir artificiel
2543294,1156717,Martinet noir,10,0,0,,,,nichoir_artificiel,Nichoir artificiel
