station_name,lat_wgs84,lon_wgs84,daily_avg,workday_avg,nonworkday_avg,commuter_index,source,year,uic,curve_profile,pct_h00,pct_h01,pct_h02,pct_h03,pct_h04,pct_h05,pct_h06,pct_h07,pct_h08,pct_h09,pct_h10,pct_h11,pct_h12,pct_h13,pct_h14,pct_h15,pct_h16,pct_h17,pct_h18,pct_h19,pct_h20,pct_h21,pct_h22,pct_h23,peak_morning_pct,peak_evening_pct,off_peak_pct
Genève-Champel,46.192208,6.153473,6100,7600.0,2700.0,2.81,sbb_passagierfrequenz_2024,2024,8516272.0,high_commuter_bedroom,0.004979,0.004854,0.00478,0.004821,0.005023,0.005392,0.030373,0.191678,0.133551,0.019171,0.016965,0.025063,0.030503,0.031541,0.025691,0.017977,0.03996,0.163254,0.175807,0.047114,0.006871,0.004805,0.005038,0.004789,0.374773,0.426135,0.199092
Lancy-Bachet,46.174342,6.12934,7000,8300.0,4100.0,2.02,sbb_passagierfrequenz_2024,2024,8517142.0,high_commuter_bedroom,0.004994,0.005187,0.004983,0.005152,0.005084,0.005493,0.033815,0.198884,0.124462,0.018507,0.018083,0.026199,0.032141,0.03162,0.026234,0.019487,0.044681,0.166804,0.167251,0.038865,0.006665,0.005239,0.005094,0.005077,0.375667,0.4176,0.206733
Lancy-Pont-Rouge,46.18596,6.124929,7700,10100.0,2500.0,4.04,sbb_passagierfrequenz_2024,2024,8516155.0,high_commuter_bedroom,0.004515,0.004757,0.004553,0.004598,0.004761,0.004788,0.025356,0.178429,0.148203,0.020955,0.016815,0.02397,0.029999,0.02948,0.024033,0.016498,0.031986,0.143833,0.199886,0.060712,0.008121,0.004608,0.004571,0.004575,0.372943,0.436417,0.19064
Palézieux,46.542766,6.83786,7600,8500.0,5700.0,1.49,sbb_passagierfrequenz_2024,2024,8504014.0,moderate_commuter_major,0.004582,0.004389,0.004471,0.004462,0.004986,0.01136,0.038966,0.096691,0.123348,0.084397,0.039855,0.026909,0.029052,0.032014,0.040249,0.068309,0.10587,0.115421,0.088899,0.043556,0.016329,0.006758,0.004711,0.004413,0.343402,0.353746,0.302852
"Aubonne, gare",46.493844,6.39294,5965,,,1.0,estimated_from_frequency_model,2024,,balanced_moderate,0.005036,0.004863,0.005038,0.005125,0.005175,0.009187,0.028605,0.078525,0.117545,0.093087,0.048863,0.03166,0.032331,0.037811,0.049905,0.07946,0.109784,0.114717,0.077954,0.035485,0.013114,0.006588,0.005035,0.005107,0.317762,0.33794,0.344298
Coppet,46.317405,6.187806,7700,8900.0,5000.0,1.78,sbb_passagierfrequenz_2024,2024,8501023.0,moderate_commuter_small,0.005084,0.004973,0.005108,0.005129,0.00496,0.006457,0.036405,0.151133,0.14597,0.038426,0.018851,0.02562,0.031121,0.0322,0.026202,0.029761,0.079154,0.160263,0.127094,0.041562,0.008991,0.005151,0.005194,0.005193,0.371933,0.408074,0.219993
Bussigny,46.547597,6.551814,5400,6400.0,3200.0,2.0,sbb_passagierfrequenz_2024,2024,8501117.0,high_commuter_bedroom,0.004962,0.005048,0.005129,0.005167,0.005019,0.005475,0.034256,0.19869,0.126846,0.017819,0.017739,0.026059,0.032779,0.032659,0.026474,0.019626,0.045143,0.1639,0.165476,0.039645,0.006613,0.005082,0.005214,0.00518,0.377611,0.414164,0.208225
Prilly-Malley,46.526697,6.602624,5900,6900.0,3500.0,1.97,sbb_passagierfrequenz_2024,2024,8518452.0,moderate_commuter_small,0.004861,0.004789,0.004706,0.004717,0.004801,0.006312,0.037298,0.153418,0.142471,0.037688,0.017747,0.025504,0.030761,0.030447,0.025376,0.027657,0.079971,0.162266,0.13237,0.04321,0.008909,0.004956,0.004931,0.004836,0.370874,0.417818,0.211308
Cully,46.488565,6.727141,2300,2500.0,1900.0,1.32,sbb_passagierfrequenz_2024,2024,8501124.0,moderate_commuter_small,0.004336,0.004366,0.004359,0.004386,0.005018,0.009959,0.035978,0.088949,0.119518,0.087436,0.0428,0.028503,0.030366,0.034481,0.043215,0.072093,0.110532,0.115165,0.086546,0.040919,0.015432,0.006573,0.004586,0.004485,0.331881,0.353161,0.314958
"Begnins, poste",46.440225,6.247701,2000,2200.0,1500.0,1.47,sbb_passagierfrequenz_2022,2022,8504483.0,moderate_commuter_small,0.004329,0.004314,0.004291,0.004215,0.004846,0.010784,0.039801,0.092114,0.120275,0.082948,0.040576,0.027291,0.029113,0.032872,0.042131,0.070674,0.104477,0.120208,0.088707,0.044035,0.016124,0.006806,0.004709,0.004357,0.335139,0.357428,0.307433
